"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mils)";"Track Length (mils)";"Die Length (mils)";"Net Length (mils)";"F.Cu (mils)";"In1.Cu (mils)";"In2.Cu (mils)";"B.Cu (mils)";
001;"/oil_t";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
002;"/fuel_lvl";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
003;"/ac_hp";3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
004;"/throttle";3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
006;"Net-(F1-Pad1)";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
007;"/dash_gnd";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
008;"/dash_sw12v";4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
009;"gnd";4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
010;"Net-(D3-A)";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
011;"Net-(D4-A)";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
012;"Net-(D5-A)";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
013;"Net-(D1-A)";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
014;"Net-(D2-A)";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
015;"Net-(J2-Pin_8)";0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
016;"Net-(J2-Pin_6)";0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
017;"Net-(J2-Pin_4)";0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
018;"Net-(J2-Pin_2)";0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
019;"/fuel_p";3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
020;"/oil_p";3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
021;"/spare";3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
022;"/+5v";62;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
023;"/coolant_t";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
024;"/evap_p";3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
026;"/dash_mil";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
027;"Net-(D7-K)";3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
031;"/mil";3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
032;"Net-(R1-Pad2)";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
033;"/rpm";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
034;"Net-(R3-Pad2)";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
035;"Net-(R2-Pad2)";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
036;"/vss";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
037;"Net-(R4-Pad2)";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
038;"/acr";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
039;"Net-(R6-Pad1)";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
040;"Net-(R5-Pad1)";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
041;"Net-(R8-Pad1)";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
042;"/rec";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
043;"Net-(R7-Pad1)";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
044;"/FM_SCL";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
045;"/pgnd";3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
046;"/pwm_fan1";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
047;"/fuel_takeover+";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
048;"FM_+5V_ODB2";1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
049;"/misc_pwr_15A";3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
050;"/nex_txd1";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
051;"/pwm_fuel";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
052;"/fuel_takeover_gnd";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
053;"/nex_rxd1";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
054;"/FM_SDA";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
055;"/pwm_en";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
056;"/dash_volt";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
057;"/pwm_fan2";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
058;"/evap_vent";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
059;"/pwm_ac";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
060;"/dash_fuel";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
061;"/dash_temp";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
062;"/dash_oil";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
063;"/cool_lvl";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
064;"/ac_req";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
065;"/i_fan1";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
066;"/1-wire";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
067;"/recirc";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
068;"/vss_l";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
069;"/oil_lvl";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
070;"/i_fuel";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
071;"/i_comp";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
072;"/rpm_l";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
073;"/i_fan2";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
074;"/rxd2";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
075;"/fuel_en";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
076;"/evap";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
077;"/volt_g";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
078;"/temp_g";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
079;"/oil_g";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
080;"/txd2";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
081;"/fuel_g";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
085;"/gnd";1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
149;"Net-(J3-Pin_3)";6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
150;"Net-(J4-Pin_8)";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
151;"Net-(J4-Pin_6)";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
152;"Net-(J4-Pin_4)";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
153;"Net-(J4-Pin_2)";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
154;"Net-(J3-Pin_5)";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
159;"Net-(J3-Pin_2)";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
